0.0008311271667480 0.803000 18.000000	0.803000, 18.000000, 0.010917
0.0008540153503418 0.803000 19.000000	0.803000, 19.000000, 0.011216
0.0008759498596191 0.803000 20.000000	0.803000, 20.000000, 0.011508
0.0001978874206543 0.804000 1.000000	0.804000, 1.000000, 0.002595
0.0002799034118652 0.804000 2.000000	0.804000, 2.000000, 0.003670
0.0003418922424316 0.804000 3.000000	0.804000, 3.000000, 0.004495
0.0003952980041504 0.804000 4.000000	0.804000, 4.000000, 0.005190
0.0004420280456543 0.804000 5.000000	0.804000, 5.000000, 0.005802
0.0004839897155762 0.804000 6.000000	0.804000, 6.000000, 0.006356
0.0005230903625488 0.804000 7.000000	0.804000, 7.000000, 0.006866
0.0005593299865723 0.804000 8.000000	0.804000, 8.000000, 0.007340
0.0005927085876465 0.804000 9.000000	0.804000, 9.000000, 0.007785
0.0006251335144043 0.804000 10.000000	0.804000, 10.000000, 0.008206
0.0006556510925293 0.804000 11.000000	0.804000, 11.000000, 0.008606
0.0006842613220215 0.804000 12.000000	0.804000, 12.000000, 0.008989
0.0007128715515137 0.804000 13.000000	0.804000, 13.000000, 0.009356
0.0007395744323730 0.804000 14.000000	0.804000, 14.000000, 0.009709
0.0007653236389160 0.804000 15.000000	0.804000, 15.000000, 0.010050
0.0007910728454590 0.804000 16.000000	0.804000, 16.000000, 0.010380
0.0008149147033691 0.804000 17.000000	0.804000, 17.000000, 0.010699
0.0008387565612793 0.804000 18.000000	0.804000, 18.000000, 0.011009
0.0008616447448730 0.804000 19.000000	0.804000, 19.000000, 0.011311
0.0008835792541504 0.804000 20.000000	0.804000, 20.000000, 0.011605
0.0001997947692871 0.805000 1.000000	0.805000, 1.000000, 0.002616
0.0002818107604980 0.805000 2.000000	0.805000, 2.000000, 0.003700
0.0003457069396973 0.805000 3.000000	0.805000, 3.000000, 0.004532
0.0003991127014160 0.805000 4.000000	0.805000, 4.000000, 0.005233
0.0004458427429199 0.805000 5.000000	0.805000, 5.000000, 0.005851
0.0004887580871582 0.805000 6.000000	0.805000, 6.000000, 0.006409
0.0005278587341309 0.805000 7.000000	0.805000, 7.000000, 0.006922
0.0005640983581543 0.805000 8.000000	0.805000, 8.000000, 0.007400
0.0005984306335449 0.805000 9.000000	0.805000, 9.000000, 0.007849
0.0006308555603027 0.805000 10.000000	0.805000, 10.000000, 0.008274
0.0006613731384277 0.805000 11.000000	0.805000, 11.000000, 0.008678
0.0006909370422363 0.805000 12.000000	0.805000, 12.000000, 0.009064
0.0007185935974121 0.805000 13.000000	0.805000, 13.000000, 0.009434
0.0007462501525879 0.805000 14.000000	0.805000, 14.000000, 0.009790
0.0007719993591309 0.805000 15.000000	0.805000, 15.000000, 0.010133
0.0007977485656738 0.805000 16.000000	0.805000, 16.000000, 0.010466
0.0008215904235840 0.805000 17.000000	0.805000, 17.000000, 0.010788
0.0008454322814941 0.805000 18.000000	0.805000, 18.000000, 0.011101
0.0008692741394043 0.805000 19.000000	0.805000, 19.000000, 0.011405
0.0008912086486816 0.805000 20.000000	0.805000, 20.000000, 0.011701
